#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
   5900      2.72e+00    2.74e+00      7.73e-03    3.62e-03      8.83e-02    8.90e-02    9.5e-04
   6000      2.53e+00    2.58e+00      7.02e-02    9.12e-02      8.19e-02    8.32e-02    9.5e-04
   6100      2.36e+00    2.16e+00      9.53e-03    6.56e-03      7.65e-02    7.01e-02    9.5e-04
   6200      2.79e+00    3.12e+00      1.19e-02    1.70e-02      9.05e-02    1.01e-01    9.5e-04
   6300      2.64e+00    2.81e+00      6.57e-02    6.75e-02      8.56e-02    9.09e-02    9.5e-04
   6400      2.86e+00    2.68e+00      7.04e-02    6.33e-02      9.27e-02    8.67e-02    9.5e-04
   6500      2.49e+00    2.70e+00      5.23e-02    4.66e-02      8.06e-02    8.76e-02    9.5e-04
   6600      2.55e+00    2.79e+00      2.96e-02    3.72e-02      8.28e-02    9.06e-02    9.5e-04
   6700      3.26e+00    2.96e+00      6.50e-03    8.01e-03      1.06e-01    9.62e-02    9.5e-04
   6800      2.46e+00    2.34e+00      6.71e-03    6.54e-03      7.98e-02    7.59e-02    9.5e-04
   6900      2.47e+00    2.36e+00      9.35e-02    8.64e-02      7.97e-02    7.62e-02    9.5e-04
   7000      2.36e+00    2.21e+00      4.72e-02    2.72e-02      7.66e-02    7.17e-02    9.5e-04
   7100      2.51e+00    2.46e+00      5.96e-02    5.54e-02      8.12e-02    7.96e-02    9.5e-04
   7200      2.35e+00    2.52e+00      5.40e-02    5.91e-02      7.62e-02    8.15e-02    9.5e-04
   7300      2.77e+00    2.72e+00      7.57e-03    1.84e-02      8.99e-02    8.82e-02    9.5e-04
   7400      2.37e+00    2.32e+00      2.22e-02    2.35e-02      7.70e-02    7.52e-02    9.5e-04
   7500      3.05e+00    2.92e+00      6.52e-03    3.36e-03      9.90e-02    9.46e-02    9.5e-04
   7600      2.33e+00    2.37e+00      8.20e-03    1.98e-02      7.57e-02    7.69e-02    9.5e-04
   7700      2.45e+00    2.59e+00      1.24e-02    1.77e-02      7.94e-02    8.39e-02    9.5e-04
   7800      3.10e+00    3.06e+00      1.29e-02    7.27e-03      1.01e-01    9.92e-02    9.5e-04
   7900      2.98e+00    2.77e+00      1.35e-01    1.25e-01      9.62e-02    8.92e-02    9.5e-04
   8000      2.24e+00    2.12e+00      1.43e-02    1.94e-02      7.27e-02    6.89e-02    9.5e-04
   8100      2.39e+00    2.38e+00      1.10e-02    9.98e-03      7.76e-02    7.71e-02    9.5e-04
   8200      3.83e+00    3.64e+00      3.62e-02    2.10e-02      1.24e-01    1.18e-01    9.5e-04
   8300      2.40e+00    2.39e+00      8.28e-02    8.52e-02      7.76e-02    7.72e-02    9.5e-04
   8400      2.34e+00    2.44e+00      2.57e-02    1.95e-02      7.58e-02    7.90e-02    9.5e-04
   8500      2.44e+00    2.17e+00      2.98e-02    2.78e-02      7.92e-02    7.03e-02    9.5e-04
   8600      2.59e+00    2.93e+00      3.24e-02    3.47e-02      8.38e-02    9.52e-02    9.5e-04
   8700      3.33e+00    3.27e+00      6.06e-02    6.45e-02      1.08e-01    1.06e-01    9.5e-04
   8800      2.46e+00    2.53e+00      7.37e-02    8.70e-02      7.97e-02    8.18e-02    9.5e-04
   8900      2.45e+00    2.27e+00      4.65e-02    4.94e-02      7.93e-02    7.34e-02    9.5e-04
   9000      2.41e+00    2.13e+00      3.30e-02    2.80e-02      7.82e-02    6.92e-02    9.5e-04
   9100      2.33e+00    2.25e+00      9.02e-02    8.23e-02      7.52e-02    7.28e-02    9.5e-04
   9200      2.30e+00    2.06e+00      9.08e-03    5.85e-03      7.45e-02    6.69e-02    9.5e-04
   9300      2.24e+00    2.43e+00      1.78e-02    1.80e-02      7.27e-02    7.89e-02    9.5e-04
   9400      2.31e+00    2.08e+00      8.00e-03    1.83e-03      7.50e-02    6.75e-02    9.5e-04
   9500      2.15e+00    2.31e+00      5.12e-02    4.93e-02      6.95e-02    7.50e-02    9.5e-04
   9600      2.49e+00    2.24e+00      1.99e-02    2.66e-02      8.09e-02    7.28e-02    9.5e-04
   9700      2.17e+00    2.16e+00      4.66e-02    3.93e-02      7.01e-02    7.00e-02    9.5e-04
   9800      2.25e+00    2.95e+00      3.56e-02    4.50e-02      7.30e-02    9.55e-02    9.5e-04
   9900      2.17e+00    2.29e+00      2.97e-02    2.03e-02      7.04e-02    7.44e-02    9.5e-04
  10000      2.67e+00    2.41e+00      8.62e-02    7.80e-02      8.82e-02    7.97e-02    9.0e-04
  10100      2.37e+00    2.25e+00      3.25e-02    3.85e-02      7.88e-02    7.49e-02    9.0e-04
  10200      2.11e+00    1.90e+00      6.71e-03    5.67e-03      7.02e-02    6.32e-02    9.0e-04
