#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  25800      1.71e+00    1.63e+00      4.39e-02    4.96e-02      6.09e-02    5.79e-02    7.7e-04
  25900      1.82e+00    1.71e+00      3.64e-02    3.07e-02      6.53e-02    6.11e-02    7.7e-04
  26000      1.54e+00    1.60e+00      6.75e-03    1.05e-03      5.55e-02    5.74e-02    7.7e-04
  26100      1.60e+00    1.37e+00      3.93e-02    3.79e-02      5.69e-02    4.90e-02    7.7e-04
  26200      1.69e+00    1.62e+00      1.68e-02    1.60e-02      6.08e-02    5.83e-02    7.7e-04
  26300      1.58e+00    1.53e+00      4.33e-02    3.81e-02      5.63e-02    5.46e-02    7.7e-04
  26400      1.65e+00    1.83e+00      2.69e-02    3.53e-02      5.91e-02    6.54e-02    7.7e-04
  26500      1.58e+00    1.61e+00      2.66e-02    3.74e-02      5.65e-02    5.74e-02    7.7e-04
  26600      1.58e+00    1.52e+00      7.67e-03    1.35e-03      5.67e-02    5.46e-02    7.7e-04
  26700      1.64e+00    1.61e+00      1.52e-02    1.61e-02      5.90e-02    5.77e-02    7.7e-04
  26800      1.76e+00    1.53e+00      4.57e-02    4.85e-02      6.29e-02    5.43e-02    7.7e-04
  26900      1.63e+00    1.53e+00      2.84e-02    3.39e-02      5.83e-02    5.47e-02    7.7e-04
  27000      1.69e+00    1.69e+00      6.65e-02    8.17e-02      5.97e-02    5.89e-02    7.7e-04
  27100      1.58e+00    1.54e+00      7.16e-03    9.31e-04      5.68e-02    5.54e-02    7.7e-04
  27200      1.62e+00    1.73e+00      1.05e-02    6.46e-03      5.82e-02    6.22e-02    7.7e-04
  27300      1.78e+00    1.60e+00      3.85e-02    4.63e-02      6.38e-02    5.68e-02    7.7e-04
  27400      1.60e+00    1.49e+00      3.11e-02    4.71e-02      5.71e-02    5.30e-02    7.7e-04
  27500      1.79e+00    1.85e+00      3.77e-02    4.41e-02      6.41e-02    6.61e-02    7.7e-04
  27600      1.54e+00    1.49e+00      9.99e-03    5.24e-04      5.51e-02    5.36e-02    7.7e-04
  27700      1.51e+00    1.54e+00      1.67e-02    1.25e-02      5.42e-02    5.53e-02    7.7e-04
  27800      1.61e+00    1.59e+00      4.62e-02    4.36e-02      5.73e-02    5.68e-02    7.7e-04
  27900      1.56e+00    1.76e+00      2.05e-02    2.35e-02      5.61e-02    6.31e-02    7.7e-04
  28000      1.98e+00    1.88e+00      1.70e-02    2.47e-02      7.12e-02    6.75e-02    7.7e-04
  28100      1.58e+00    1.60e+00      6.95e-03    2.21e-03      5.67e-02    5.76e-02    7.7e-04
  28200      1.52e+00    1.43e+00      4.17e-02    4.15e-02      5.40e-02    5.09e-02    7.7e-04
  28300      1.55e+00    1.37e+00      2.74e-02    2.97e-02      5.55e-02    4.91e-02    7.7e-04
  28400      1.59e+00    1.48e+00      4.10e-02    3.87e-02      5.65e-02    5.29e-02    7.7e-04
  28500      1.51e+00    1.72e+00      2.31e-02    2.54e-02      5.40e-02    6.16e-02    7.7e-04
  28600      1.61e+00    1.39e+00      1.97e-02    1.14e-02      5.78e-02    5.00e-02    7.7e-04
  28700      1.48e+00    1.48e+00      7.15e-03    1.01e-02      5.31e-02    5.31e-02    7.7e-04
  28800      1.95e+00    1.92e+00      3.33e-02    2.10e-02      6.97e-02    6.91e-02    7.7e-04
  28900      1.52e+00    1.68e+00      1.35e-02    1.38e-02      5.46e-02    6.03e-02    7.7e-04
  29000      1.50e+00    1.50e+00      1.65e-02    9.46e-03      5.37e-02    5.39e-02    7.7e-04
  29100      1.55e+00    1.55e+00      1.30e-02    1.13e-02      5.55e-02    5.58e-02    7.7e-04
  29200      1.62e+00    1.77e+00      1.28e-02    3.00e-02      5.80e-02    6.34e-02    7.7e-04
  29300      1.54e+00    1.34e+00      2.13e-02    1.83e-02      5.51e-02    4.81e-02    7.7e-04
  29400      1.52e+00    1.28e+00      1.08e-02    1.50e-02      5.45e-02    4.61e-02    7.7e-04
  29500      1.56e+00    1.45e+00      1.04e-02    1.34e-02      5.61e-02    5.20e-02    7.7e-04
  29600      1.49e+00    1.36e+00      2.03e-02    2.12e-02      5.34e-02    4.88e-02    7.7e-04
  29700      1.62e+00    1.41e+00      2.60e-02    2.46e-02      5.79e-02    5.04e-02    7.7e-04
  29800      1.46e+00    1.47e+00      1.60e-02    3.24e-02      5.25e-02    5.26e-02    7.7e-04
  29900      1.48e+00    1.58e+00      4.13e-02    3.11e-02      5.28e-02    5.64e-02    7.7e-04
  30000      1.58e+00    1.49e+00      9.19e-03    1.74e-02      5.82e-02    5.49e-02    7.4e-04
  30100      1.51e+00    1.48e+00      8.59e-03    1.34e-03      5.57e-02    5.47e-02    7.4e-04
  30200      1.48e+00    1.53e+00      1.44e-02    6.39e-03      5.46e-02    5.63e-02    7.4e-04
  30300      1.64e+00    1.60e+00      1.39e-02    5.55e-03      6.05e-02    5.91e-02    7.4e-04
  30400      1.83e+00    1.73e+00      1.50e-02    1.23e-02      6.74e-02    6.38e-02    7.4e-04
  30500      1.50e+00    1.44e+00      8.58e-03    5.80e-03      5.51e-02    5.30e-02    7.4e-04
  30600      1.56e+00    1.53e+00      1.33e-02    1.96e-02      5.76e-02    5.62e-02    7.4e-04
  30700      1.52e+00    1.51e+00      6.91e-03    8.54e-03      5.61e-02    5.57e-02    7.4e-04
  30800      1.42e+00    1.43e+00      4.41e-02    3.65e-02      5.18e-02    5.23e-02    7.4e-04
  30900      1.44e+00    1.39e+00      1.22e-02    5.80e-03      5.31e-02    5.12e-02    7.4e-04
  31000      1.46e+00    1.53e+00      1.70e-02    3.52e-02      5.36e-02    5.59e-02    7.4e-04
  31100      1.84e+00    1.91e+00      1.68e-02    1.94e-02      6.77e-02    7.02e-02    7.4e-04
  31200      1.45e+00    1.31e+00      8.53e-03    9.15e-03      5.36e-02    4.82e-02    7.4e-04
  31300      1.43e+00    1.40e+00      4.46e-02    3.55e-02      5.21e-02    5.11e-02    7.4e-04
  31400      1.56e+00    1.48e+00      2.62e-02    2.35e-02      5.72e-02    5.43e-02    7.4e-04
  31500      1.59e+00    1.49e+00      4.31e-02    5.19e-02      5.80e-02    5.41e-02    7.4e-04
  31600      1.59e+00    1.55e+00      1.25e-02    6.01e-04      5.87e-02    5.71e-02    7.4e-04
  31700      1.51e+00    1.36e+00      4.77e-02    4.46e-02      5.50e-02    4.95e-02    7.4e-04
  31800      1.50e+00    1.48e+00      1.05e-02    2.23e-03      5.52e-02    5.46e-02    7.4e-04
  31900      1.53e+00    1.47e+00      1.88e-02    3.26e-02      5.63e-02    5.40e-02    7.4e-04
  32000      1.51e+00    1.26e+00      3.32e-02    1.70e-02      5.53e-02    4.65e-02    7.4e-04
  32100      1.60e+00    1.62e+00      2.60e-02    1.33e-02      5.87e-02    5.97e-02    7.4e-04
  32200      1.42e+00    1.22e+00      1.57e-02    1.76e-02      5.22e-02    4.47e-02    7.4e-04
  32300      1.74e+00    1.67e+00      5.41e-02    6.57e-02      6.34e-02    6.02e-02    7.4e-04
  32400      1.45e+00    1.18e+00      4.01e-02    2.80e-02      5.29e-02    4.33e-02    7.4e-04
  32500      1.53e+00    1.59e+00      6.70e-03    3.69e-03      5.63e-02    5.88e-02    7.4e-04
  32600      1.54e+00    1.22e+00      8.78e-03    8.31e-03      5.67e-02    4.49e-02    7.4e-04
  32700      1.46e+00    1.49e+00      3.22e-02    3.27e-02      5.34e-02    5.46e-02    7.4e-04
  32800      1.38e+00    1.26e+00      1.46e-02    1.28e-02      5.07e-02    4.63e-02    7.4e-04
  32900      1.65e+00    1.72e+00      5.04e-02    4.01e-02      6.00e-02    6.31e-02    7.4e-04
  33000      1.72e+00    1.64e+00      3.75e-02    3.51e-02      6.30e-02    6.01e-02    7.4e-04
  33100      1.48e+00    1.50e+00      1.82e-02    3.29e-02      5.46e-02    5.50e-02    7.4e-04
  33200      1.42e+00    1.44e+00      2.33e-02    2.02e-02      5.23e-02    5.28e-02    7.4e-04
  33300      1.79e+00    1.93e+00      1.49e-02    2.99e-02      6.61e-02    7.09e-02    7.4e-04
  33400      1.42e+00    1.35e+00      1.33e-02    1.21e-02      5.25e-02    4.99e-02    7.4e-04
  33500      1.42e+00    1.35e+00      3.80e-02    2.73e-02      5.19e-02    4.94e-02    7.4e-04
  33600      1.48e+00    1.48e+00      1.10e-02    1.04e-02      5.46e-02    5.47e-02    7.4e-04
  33700      1.42e+00    1.34e+00      1.27e-02    2.47e-02      5.21e-02    4.92e-02    7.4e-04
  33800      1.41e+00    1.38e+00      2.66e-02    1.56e-02      5.17e-02    5.08e-02    7.4e-04
  33900      1.59e+00    1.79e+00      1.66e-02    2.36e-02      5.85e-02    6.57e-02    7.4e-04
  34000      1.88e+00    1.74e+00      1.98e-02    1.62e-02      6.93e-02    6.41e-02    7.4e-04
  34100      1.42e+00    1.45e+00      3.59e-02    5.04e-02      5.17e-02    5.27e-02    7.4e-04
  34200      1.48e+00    1.35e+00      1.64e-02    2.03e-02      5.45e-02    4.96e-02    7.4e-04
  34300      1.60e+00    1.56e+00      1.04e-01    1.02e-01      5.57e-02    5.40e-02    7.4e-04
  34400      1.51e+00    1.45e+00      1.72e-02    1.75e-02      5.55e-02    5.34e-02    7.4e-04
  34500      1.46e+00    1.45e+00      1.24e-02    4.49e-03      5.36e-02    5.34e-02    7.4e-04
  34600      1.46e+00    1.48e+00      5.79e-02    6.78e-02      5.28e-02    5.31e-02    7.4e-04
  34700      1.51e+00    1.62e+00      2.09e-02    3.12e-02      5.57e-02    5.93e-02    7.4e-04
  34800      1.54e+00    1.59e+00      6.65e-03    4.54e-03      5.68e-02    5.87e-02    7.4e-04
  34900      1.36e+00    1.27e+00      6.79e-03    5.23e-03      5.01e-02    4.70e-02    7.4e-04
  35000      1.34e+00    1.36e+00      1.20e-02    2.22e-02      5.07e-02    5.14e-02    7.0e-04
  35100      1.41e+00    1.19e+00      7.05e-03    9.21e-03      5.32e-02    4.48e-02    7.0e-04
  35200      1.41e+00    1.41e+00      6.88e-03    1.29e-02      5.33e-02    5.32e-02    7.0e-04
  35300      1.54e+00    1.67e+00      4.94e-02    6.14e-02      5.73e-02    6.17e-02    7.0e-04
  35400      1.39e+00    1.37e+00      1.34e-02    1.56e-02      5.25e-02    5.16e-02    7.0e-04
  35500      1.39e+00    1.42e+00      6.33e-02    6.79e-02      5.07e-02    5.19e-02    7.0e-04
  35600      1.44e+00    1.31e+00      8.69e-03    4.90e-03      5.46e-02    4.94e-02    7.0e-04
  35700      1.39e+00    1.59e+00      7.09e-03    1.25e-02      5.25e-02    6.02e-02    7.0e-04
  35800      1.67e+00    1.61e+00      1.23e-02    2.27e-02      6.33e-02    6.08e-02    7.0e-04
  35900      1.43e+00    1.34e+00      6.71e-02    6.65e-02      5.24e-02    4.89e-02    7.0e-04
  36000      1.33e+00    1.46e+00      1.81e-02    1.83e-02      5.01e-02    5.53e-02    7.0e-04
  36100      1.43e+00    1.45e+00      2.29e-02    1.97e-02      5.38e-02    5.46e-02    7.0e-04
  36200      1.43e+00    1.21e+00      1.58e-02    8.33e-03      5.38e-02    4.57e-02    7.0e-04
  36300      1.40e+00    1.44e+00      2.47e-02    3.05e-02      5.26e-02    5.41e-02    7.0e-04
  36400      1.33e+00    1.37e+00      1.93e-02    1.65e-02      5.03e-02    5.17e-02    7.0e-04
  36500      1.34e+00    1.17e+00      2.34e-02    2.17e-02      5.04e-02    4.39e-02    7.0e-04
  36600      1.35e+00    1.59e+00      1.40e-02    2.05e-02      5.09e-02    5.99e-02    7.0e-04
  36700      1.47e+00    1.44e+00      7.33e-03    1.88e-03      5.57e-02    5.45e-02    7.0e-04
  36800      1.43e+00    1.41e+00      1.46e-02    3.24e-04      5.38e-02    5.32e-02    7.0e-04
  36900      1.40e+00    1.48e+00      6.81e-03    6.12e-03      5.29e-02    5.62e-02    7.0e-04
  37000      1.49e+00    1.49e+00      2.13e-02    1.43e-02      5.62e-02    5.63e-02    7.0e-04
  37100      1.44e+00    1.27e+00      2.52e-02    1.42e-02      5.41e-02    4.81e-02    7.0e-04
  37200      1.44e+00    1.37e+00      1.22e-02    1.09e-03      5.44e-02    5.20e-02    7.0e-04
  37300      1.74e+00    1.83e+00      2.24e-02    2.23e-02      6.56e-02    6.92e-02    7.0e-04
  37400      1.73e+00    1.58e+00      2.28e-02    2.37e-02      6.52e-02    5.95e-02    7.0e-04
  37500      1.34e+00    1.24e+00      1.84e-02    2.31e-02      5.06e-02    4.66e-02    7.0e-04
  37600      1.55e+00    1.40e+00      7.13e-03    2.13e-03      5.86e-02    5.31e-02    7.0e-04
  37700      1.37e+00    1.26e+00      3.60e-02    4.39e-02      5.13e-02    4.69e-02    7.0e-04
  37800      1.39e+00    1.60e+00      6.65e-03    1.18e-02      5.24e-02    6.03e-02    7.0e-04
  37900      1.42e+00    1.37e+00      1.14e-02    1.69e-02      5.36e-02    5.18e-02    7.0e-04
  38000      1.32e+00    1.37e+00      3.41e-02    4.38e-02      4.94e-02    5.10e-02    7.0e-04
  38100      1.42e+00    1.45e+00      2.97e-02    1.94e-02      5.34e-02    5.49e-02    7.0e-04
  38200      1.36e+00    1.39e+00      1.70e-02    1.77e-02      5.12e-02    5.25e-02    7.0e-04
  38300      1.43e+00    1.23e+00      1.88e-02    2.13e-02      5.39e-02    4.63e-02    7.0e-04
  38400      1.34e+00    1.21e+00      1.09e-02    4.10e-03      5.06e-02    4.59e-02    7.0e-04
  38500      1.47e+00    1.34e+00      9.82e-03    1.17e-02      5.57e-02    5.07e-02    7.0e-04
  38600      1.32e+00    1.33e+00      9.39e-03    3.41e-03      5.00e-02    5.04e-02    7.0e-04
  38700      1.37e+00    1.25e+00      6.86e-03    4.71e-03      5.20e-02    4.72e-02    7.0e-04
  38800      1.78e+00    1.73e+00      2.82e-02    3.49e-02      6.69e-02    6.51e-02    7.0e-04
  38900      1.45e+00    1.40e+00      2.32e-02    1.66e-02      5.46e-02    5.27e-02    7.0e-04
  39000      1.35e+00    1.30e+00      1.27e-02    8.09e-03      5.09e-02    4.91e-02    7.0e-04
  39100      1.44e+00    1.35e+00      6.73e-03    4.63e-03      5.43e-02    5.10e-02    7.0e-04
  39200      1.37e+00    1.30e+00      1.39e-02    1.27e-02      5.18e-02    4.91e-02    7.0e-04
  39300      1.65e+00    1.69e+00      3.15e-02    1.81e-02      6.21e-02    6.37e-02    7.0e-04
  39400      1.33e+00    1.28e+00      4.55e-02    3.90e-02      4.93e-02    4.79e-02    7.0e-04
  39500      1.43e+00    1.37e+00      2.18e-02    3.52e-03      5.39e-02    5.17e-02    7.0e-04
  39600      1.33e+00    1.48e+00      1.62e-02    7.22e-04      5.01e-02    5.61e-02    7.0e-04
  39700      1.42e+00    1.49e+00      1.05e-02    7.60e-03      5.37e-02    5.63e-02    7.0e-04
  39800      1.37e+00    1.24e+00      3.17e-02    3.47e-02      5.14e-02    4.64e-02    7.0e-04
  39900      1.33e+00    1.40e+00      2.64e-02    2.93e-02      4.99e-02    5.27e-02    7.0e-04
  40000      1.30e+00    1.25e+00      2.55e-02    1.50e-02      5.03e-02    4.84e-02    6.6e-04
  40100      1.35e+00    1.18e+00      2.35e-02    2.37e-02      5.20e-02    4.57e-02    6.6e-04
  40200      1.36e+00    1.39e+00      9.68e-03    2.70e-04      5.26e-02    5.39e-02    6.6e-04
  40300      1.36e+00    1.40e+00      1.05e-02    1.06e-02      5.26e-02    5.44e-02    6.6e-04
  40400      1.41e+00    1.62e+00      2.07e-02    2.54e-02      5.46e-02    6.27e-02    6.6e-04
  40500      1.35e+00    1.26e+00      3.11e-02    3.09e-02      5.17e-02    4.83e-02    6.6e-04
  40600      1.31e+00    1.27e+00      2.01e-02    2.10e-02      5.05e-02    4.92e-02    6.6e-04
  40700      1.29e+00    1.17e+00      1.62e-02    3.42e-03      4.99e-02    4.53e-02    6.6e-04
  40800      1.52e+00    1.41e+00      6.97e-03    7.48e-04      5.91e-02    5.47e-02    6.6e-04
  40900      1.36e+00    1.39e+00      1.66e-02    3.10e-02      5.24e-02    5.34e-02    6.6e-04
  41000      1.37e+00    1.30e+00      1.75e-02    9.53e-03      5.28e-02    5.03e-02    6.6e-04
  41100      1.27e+00    1.24e+00      1.13e-02    8.54e-03      4.90e-02    4.80e-02    6.6e-04
  41200      1.29e+00    1.15e+00      7.28e-03    8.04e-03      5.00e-02    4.48e-02    6.6e-04
  41300      1.36e+00    1.31e+00      1.12e-02    1.65e-02      5.28e-02    5.07e-02    6.6e-04
  41400      1.71e+00    1.86e+00      6.69e-03    1.11e-02      6.63e-02    7.22e-02    6.6e-04
  41500      1.55e+00    1.49e+00      2.35e-02    1.95e-02      5.97e-02    5.78e-02    6.6e-04
  41600      1.28e+00    1.14e+00      6.74e-03    1.49e-03      4.94e-02    4.41e-02    6.6e-04
  41700      1.27e+00    1.14e+00      1.56e-02    1.77e-02      4.90e-02    4.40e-02    6.6e-04
  41800      1.39e+00    1.38e+00      2.88e-02    2.62e-02      5.37e-02    5.34e-02    6.6e-04
  41900      1.29e+00    1.33e+00      2.11e-02    9.69e-03      4.97e-02    5.15e-02    6.6e-04
  42000      1.28e+00    1.22e+00      1.38e-02    7.36e-03      4.97e-02    4.75e-02    6.6e-04
  42100      1.38e+00    1.36e+00      1.78e-02    1.98e-02      5.32e-02    5.26e-02    6.6e-04
  42200      1.57e+00    1.44e+00      8.30e-03    9.77e-03      6.09e-02    5.60e-02    6.6e-04
  42300      1.23e+00    1.19e+00      7.72e-03    4.84e-03      4.77e-02    4.61e-02    6.6e-04
  42400      1.30e+00    1.26e+00      6.96e-03    8.56e-03      5.03e-02    4.87e-02    6.6e-04
  42500      1.36e+00    1.40e+00      2.83e-02    2.34e-02      5.23e-02    5.41e-02    6.6e-04
  42600      1.37e+00    1.39e+00      2.32e-02    1.76e-02      5.31e-02    5.39e-02    6.6e-04
  42700      1.32e+00    1.21e+00      3.29e-02    4.70e-02      5.06e-02    4.59e-02    6.6e-04
  42800      1.29e+00    1.21e+00      2.22e-02    1.74e-02      4.97e-02    4.68e-02    6.6e-04
  42900      1.48e+00    1.37e+00      3.09e-02    3.34e-02      5.71e-02    5.25e-02    6.6e-04
  43000      1.46e+00    1.44e+00      6.87e-03    1.88e-03      5.65e-02    5.58e-02    6.6e-04
  43100      1.25e+00    1.37e+00      1.86e-02    1.71e-02      4.83e-02    5.29e-02    6.6e-04
  43200      1.27e+00    1.26e+00      7.65e-03    3.76e-03      4.93e-02    4.90e-02    6.6e-04
  43300      1.37e+00    1.35e+00      1.05e-02    4.27e-03      5.32e-02    5.24e-02    6.6e-04
  43400      1.40e+00    1.33e+00      6.18e-02    5.67e-02      5.25e-02    5.00e-02    6.6e-04
  43500      1.26e+00    1.17e+00      3.45e-02    2.30e-02      4.83e-02    4.50e-02    6.6e-04
  43600      1.26e+00    1.11e+00      6.79e-03    4.66e-03      4.90e-02    4.33e-02    6.6e-04
  43700      1.40e+00    1.22e+00      1.21e-02    3.83e-03      5.42e-02    4.73e-02    6.6e-04
  43800      1.26e+00    1.09e+00      1.12e-02    3.48e-03      4.88e-02    4.23e-02    6.6e-04
  43900      1.38e+00    1.34e+00      4.15e-02    2.29e-02      5.27e-02    5.16e-02    6.6e-04
  44000      1.52e+00    1.44e+00      1.29e-02    1.32e-02      5.88e-02    5.58e-02    6.6e-04
  44100      1.24e+00    9.54e-01      2.06e-02    1.53e-02      4.79e-02    3.69e-02    6.6e-04
  44200      1.26e+00    1.16e+00      4.34e-02    3.13e-02      4.80e-02    4.43e-02    6.6e-04
  44300      1.35e+00    1.35e+00      1.78e-02    1.95e-02      5.23e-02    5.21e-02    6.6e-04
  44400      1.34e+00    1.42e+00      8.43e-03    6.73e-03      5.19e-02    5.50e-02    6.6e-04
  44500      1.41e+00    1.36e+00      1.85e-02    1.70e-02      5.47e-02    5.27e-02    6.6e-04
  44600      1.25e+00    1.06e+00      2.44e-02    1.55e-02      4.81e-02    4.10e-02    6.6e-04
  44700      1.27e+00    1.10e+00      9.97e-03    1.59e-02      4.92e-02    4.26e-02    6.6e-04
  44800      1.45e+00    1.36e+00      3.03e-02    3.00e-02      5.60e-02    5.23e-02    6.6e-04
  44900      1.28e+00    1.33e+00      1.47e-02    2.33e-02      4.97e-02    5.13e-02    6.6e-04
  45000      1.41e+00    1.46e+00      1.24e-02    1.15e-03      5.60e-02    5.83e-02    6.3e-04
  45100      1.30e+00    1.33e+00      1.45e-02    1.00e-02      5.16e-02    5.28e-02    6.3e-04
  45200      1.25e+00    1.07e+00      1.95e-02    2.08e-02      4.96e-02    4.24e-02    6.3e-04
  45300      1.18e+00    1.28e+00      7.38e-03    1.58e-03      4.68e-02    5.10e-02    6.3e-04
  45400      1.28e+00    1.29e+00      8.57e-03    5.99e-03      5.08e-02    5.12e-02    6.3e-04
  45500      1.33e+00    1.30e+00      1.04e-02    2.27e-03      5.28e-02    5.19e-02    6.3e-04
  45600      1.24e+00    1.28e+00      9.09e-03    3.85e-03      4.92e-02    5.11e-02    6.3e-04
  45700      1.42e+00    1.36e+00      7.76e-03    1.06e-02      5.63e-02    5.40e-02    6.3e-04
  45800      1.23e+00    1.12e+00      6.76e-03    5.09e-03      4.90e-02    4.47e-02    6.3e-04
  45900      1.28e+00    1.21e+00      2.27e-02    4.58e-03      5.08e-02    4.80e-02    6.3e-04
  46000      1.32e+00    1.31e+00      8.11e-03    1.43e-03      5.23e-02    5.21e-02    6.3e-04
  46100      1.30e+00    1.44e+00      1.55e-02    1.41e-02      5.15e-02    5.71e-02    6.3e-04
  46200      1.33e+00    1.28e+00      6.71e-03    6.76e-03      5.27e-02    5.11e-02    6.3e-04
  46300      1.41e+00    1.45e+00      2.23e-02    3.02e-02      5.59e-02    5.72e-02    6.3e-04
  46400      1.30e+00    1.32e+00      2.94e-02    2.87e-02      5.12e-02    5.23e-02    6.3e-04
  46500      1.36e+00    1.35e+00      8.75e-03    3.18e-03      5.42e-02    5.37e-02    6.3e-04
  46600      1.29e+00    1.16e+00      3.46e-02    3.56e-02      5.07e-02    4.55e-02    6.3e-04
  46700      1.65e+00    1.47e+00      3.82e-02    3.92e-02      6.49e-02    5.76e-02    6.3e-04
  46800      1.24e+00    1.18e+00      8.59e-03    1.69e-02      4.92e-02    4.70e-02    6.3e-04
  46900      1.21e+00    1.38e+00      6.72e-03    1.26e-02      4.81e-02    5.48e-02    6.3e-04
  47000      1.20e+00    1.19e+00      9.12e-03    1.27e-02      4.76e-02    4.73e-02    6.3e-04
  47100      1.30e+00    1.39e+00      1.78e-02    1.86e-02      5.15e-02    5.53e-02    6.3e-04
  47200      1.29e+00    1.34e+00      2.67e-02    1.74e-02      5.07e-02    5.31e-02    6.3e-04
  47300      1.33e+00    1.32e+00      3.28e-02    2.28e-02      5.23e-02    5.22e-02    6.3e-04
  47400      1.39e+00    1.34e+00      5.24e-02    5.40e-02      5.38e-02    5.19e-02    6.3e-04
  47500      1.22e+00    1.32e+00      8.65e-03    5.88e-03      4.85e-02    5.26e-02    6.3e-04
  47600      1.27e+00    1.20e+00      1.75e-02    1.45e-02      5.02e-02    4.77e-02    6.3e-04
  47700      1.22e+00    1.18e+00      1.52e-02    3.76e-02      4.86e-02    4.60e-02    6.3e-04
  47800      1.39e+00    1.45e+00      2.40e-02    1.99e-02      5.49e-02    5.74e-02    6.3e-04
  47900      1.25e+00    1.17e+00      9.79e-03    1.62e-02      4.95e-02    4.65e-02    6.3e-04
  48000      1.32e+00    1.37e+00      6.88e-03    8.46e-03      5.25e-02    5.45e-02    6.3e-04
  48100      1.20e+00    1.10e+00      1.45e-02    9.94e-03      4.75e-02    4.37e-02    6.3e-04
  48200      1.20e+00    1.41e+00      1.13e-02    1.45e-02      4.77e-02    5.59e-02    6.3e-04
  48300      1.27e+00    1.18e+00      5.22e-02    4.01e-02      4.90e-02    4.58e-02    6.3e-04
  48400      1.19e+00    1.18e+00      1.08e-02    1.05e-02      4.74e-02    4.70e-02    6.3e-04
  48500      1.28e+00    1.34e+00      7.75e-03    1.33e-02      5.11e-02    5.34e-02    6.3e-04
  48600      1.31e+00    1.41e+00      2.57e-02    2.29e-02      5.17e-02    5.58e-02    6.3e-04
  48700      1.73e+00    1.59e+00      2.06e-02    1.05e-02      6.85e-02    6.33e-02    6.3e-04
  48800      1.17e+00    1.12e+00      9.91e-03    1.90e-02      4.66e-02    4.43e-02    6.3e-04
  48900      1.27e+00    1.25e+00      1.19e-02    8.60e-03      5.03e-02    4.96e-02    6.3e-04
  49000      1.55e+00    1.42e+00      7.28e-03    1.20e-03      6.16e-02    5.63e-02    6.3e-04
  49100      1.22e+00    1.23e+00      1.16e-02    1.21e-02      4.86e-02    4.88e-02    6.3e-04
  49200      1.20e+00    1.28e+00      1.84e-02    1.27e-02      4.76e-02    5.09e-02    6.3e-04
  49300      1.22e+00    1.18e+00      1.17e-02    2.68e-03      4.84e-02    4.72e-02    6.3e-04
  49400      1.23e+00    1.19e+00      2.00e-02    1.43e-02      4.85e-02    4.72e-02    6.3e-04
  49500      1.30e+00    1.34e+00      7.21e-03    6.92e-03      5.17e-02    5.33e-02    6.3e-04
  49600      1.21e+00    1.15e+00      1.46e-02    2.77e-03      4.82e-02    4.58e-02    6.3e-04
  49700      1.24e+00    1.34e+00      7.64e-03    7.10e-03      4.94e-02    5.31e-02    6.3e-04
  49800      1.19e+00    1.18e+00      3.09e-02    1.97e-02      4.66e-02    4.66e-02    6.3e-04
  49900      1.36e+00    1.28e+00      7.05e-03    1.95e-02      5.42e-02    5.08e-02    6.3e-04
  50000      1.31e+00    1.19e+00      1.64e-02    9.56e-05      5.34e-02    4.85e-02    6.0e-04
  50100      1.15e+00    1.10e+00      9.70e-03    5.88e-03      4.69e-02    4.50e-02    6.0e-04
  50200      1.22e+00    1.13e+00      2.27e-02    9.25e-03      4.93e-02    4.63e-02    6.0e-04
  50300      1.16e+00    1.09e+00      2.43e-02    4.15e-02      4.71e-02    4.33e-02    6.0e-04
  50400      1.19e+00    1.07e+00      9.62e-03    1.44e-02      4.87e-02    4.35e-02    6.0e-04
  50500      1.20e+00    1.12e+00      4.57e-02    3.78e-02      4.76e-02    4.47e-02    6.0e-04
  50600      1.16e+00    1.16e+00      8.92e-03    4.84e-03      4.72e-02    4.72e-02    6.0e-04
  50700      1.16e+00    1.03e+00      2.71e-02    2.06e-02      4.70e-02    4.16e-02    6.0e-04
  50800      1.16e+00    1.04e+00      8.49e-03    4.12e-03      4.71e-02    4.26e-02    6.0e-04
  50900      1.41e+00    1.49e+00      2.92e-02    3.39e-02      5.69e-02    6.03e-02    6.0e-04
  51000      1.15e+00    1.13e+00      1.87e-02    2.69e-02      4.67e-02    4.56e-02    6.0e-04
  51100      1.18e+00    1.16e+00      3.58e-02    4.04e-02      4.71e-02    4.64e-02    6.0e-04
  51200      1.16e+00    1.14e+00      6.91e-03    1.05e-02      4.75e-02    4.65e-02    6.0e-04
  51300      1.15e+00    1.25e+00      9.97e-03    6.33e-03      4.70e-02    5.09e-02    6.0e-04
  51400      1.16e+00    1.04e+00      2.56e-02    3.01e-02      4.67e-02    4.16e-02    6.0e-04
  51500      1.20e+00    1.29e+00      1.03e-02    1.03e-03      4.89e-02    5.28e-02    6.0e-04
  51600      1.17e+00    1.18e+00      8.41e-03    1.21e-02      4.78e-02    4.79e-02    6.0e-04
  51700      1.26e+00    1.20e+00      3.77e-02    4.54e-02      5.04e-02    4.77e-02    6.0e-04
  51800      1.21e+00    1.27e+00      2.04e-02    2.05e-02      4.90e-02    5.16e-02    6.0e-04
  51900      1.18e+00    1.33e+00      3.04e-02    2.26e-02      4.74e-02    5.40e-02    6.0e-04
  52000      1.19e+00    1.24e+00      1.03e-02    8.41e-03      4.85e-02    5.08e-02    6.0e-04
